
0.98	0.85	0.87	0.77	0.05
0.91	0.64	0.72	0.76	0.16
0.85	0.72	0.72	0.59	0.06
0.48	0.93	0.89	0.71	0.05
0.92	0.72	0.71	0.77	0.16
0.98	0.46	0.51	0.58	0.21
0.47	0.34	0.31	0.34	0.68
0.7	0.76	0.78	0.78	0.22
0.8	0.58	0.62	0.55	0.27
0.64	0.66	0.65	0.53	0.23
0.99	0.72	0.75	0.62	0.18
0.97	0.64	0.65	0.69	0.12
0.95	0.57	0.6	0.63	0.34
0.87	0.54	0.58	0.63	0.33
0.83	0.81	0.79	0.82	0.09
0.95	0.95	0.94	0.92	0.02
0.89	0.64	0.61	0.62	0.11
0.94	0.53	0.54	0.71	0.06
0.96	0.77	0.76	0.7	0.13
0.76	0.86	0.85	0.8	0.05
0.78	0.54	0.57	0.34	0.46
0.96	0.83	0.87	0.7	0.04
0.27	0.29	0.29	0.28	0.85
0.96	0.7	0.76	0.69	0.12
0.95	0.68	0.69	0.6	0.05
0.9	0.71	0.73	0.68	0.14
0.64	0.69	0.67	0.66	0.19
0.94	0.66	0.66	0.52	0.04
0.7	0.72	0.72	0.76	0.23
0.77	0.7	0.75	0.52	0.18
0.95	0.97	0.98	0.8	0.03
0.94	0.8	0.88	0.66	0.02
0.58	0.5	0.49	0.57	0.45
0.98	0.47	0.51	0.31	0.11
0.95	0.72	0.78	0.62	0.1
0.8	0.78	0.77	0.7	0.15
0.99	0.74	0.8	0.65	0.05
0.68	0.79	0.78	0.75	0.11
0.87	0.87	0.85	0.73	0.02
0.82	0.54	0.54	0.53	0.23
0.96	0.72	0.78	0.74	0.14
0.99	0.89	0.9	0.87	0.03
0.99	0.69	0.69	0.62	0.06
0.17	0.31	0.26	0.28	0.69
0.86	0.74	0.77	0.61	0.1
0.86	0.92	0.94	0.89	0.11
0.95	0.89	0.93	0.81	0.04
0.95	0.91	0.91	0.85	0.06
0.89	0.36	0.38	0.46	0.41
0.85	0.62	0.61	0.65	0.28
0.56	0.49	0.51	0.44	0.51
0.88	0.61	0.65	0.63	0.17
0.79	0.38	0.41	0.4	0.45
0.53	0.21	0.22	0.24	0.71
0.57	0.63	0.64	0.6	0.19
0.94	0.81	0.79	0.81	0.04
0.5	0.72	0.65	0.6	0.2
0.95	0.69	0.72	0.72	0.19
0.97	0.49	0.56	0.47	0.19
0.52	0.27	0.27	0.33	0.55
0.95	0.48	0.48	0.49	0.34
0.72	0.5	0.46	0.49	0.28
0.95	0.88	0.88	0.84	0.08
0.99	0.82	0.82	0.81	0.08
0.92	0.73	0.68	0.7	0.16
0.9	0.94	0.94	0.83	0.02
0.99	0.8	0.77	0.86	0.06
0.91	0.77	0.8	0.72	0.07
0.08	0.86	0.83	0.83	0.03
0.67	0.5	0.53	0.53	0.3
0.8	0.8	0.82	0.77	0.15
0.68	0.75	0.76	0.7	0.14
0.97	0.4	0.48	0.51	0.22
0.96	0.71	0.77	0.79	0.06
0.92	0.69	0.72	0.66	0.13
0.86	0.35	0.39	0.54	0.41
0.77	0.63	0.61	0.55	0.13
0	0.3	0.31	0.24	0.39
0.91	0.74	0.76	0.73	0.09
0.74	0.36	0.38	0.4	0.51
0.94	0.7	0.73	0.52	0.09
0.99	0.59	0.6	0.6	0.12
0.64	0.41	0.36	0.24	0.61
0.59	0.59	0.58	0.51	0.3
0.77	0.7	0.73	0.59	0.07
0.98	0.89	0.89	0.82	0.06
0.42	0.36	0.42	0.37	0.45
0.97	0.68	0.69	0.6	0.07
0.93	0.4	0.52	0.19	0.3
0.4	0.48	0.46	0.55	0.54
0.69	0.62	0.6	0.58	0.38
0.55	0.64	0.58	0.58	0.25
0.92	0.61	0.65	0.42	0.1
0.37	0.62	0.53	0.62	0.4
0.83	0.8	0.8	0.81	0.15
0.96	0.69	0.73	0.72	0.16
0.97	0.84	0.86	0.73	0.09
0.56	0.63	0.59	0.66	0.17
0.69	0.58	0.61	0.55	0.46
0.77	0.6	0.62	0.62	0.19
0.7	0.52	0.5	0.63	0.29
0.35	0.39	0.36	0.32	0.53
0.34	0.23	0.22	0.25	0.62
0.91	0.46	0.5	0.72	0.29
0.82	0.82	0.82	0.71	0.09
0.98	0.71	0.8	0.67	0.1
0.97	0.87	0.93	0.68	0.03
0.74	0.45	0.46	0.38	0.28
0.61	0.35	0.36	0.37	0.53
0.81	0.38	0.45	0.41	0.21
0.96	0.85	0.77	0.82	0.03
0.8	0.44	0.49	0.47	0.26
0.98	0.83	0.86	0.82	0.05
0.73	0.38	0.4	0.3	0.58
0.82	0.71	0.71	0.62	0.16
0.81	0.64	0.67	0.6	0.11
0.79	0.74	0.78	0.58	0.04
0.52	0.33	0.33	0.27	0.64
0.59	0.72	0.73	0.65	0.11
0.82	0.59	0.61	0.55	0.21
0.65	0.44	0.42	0.27	0.3
0.91	0.89	0.9	0.84	0.03
0.99	0.65	0.68	0.59	0.06
0.47	0.6	0.63	0.54	0.33
0.92	0.57	0.63	0.57	0.15
0.91	0.85	0.88	0.7	0.03
0.87	0.91	0.93	0.75	0.07
0.1	0.24	0.21	0.23	1
0.86	0.58	0.62	0.5	0.2
0.96	0.94	0.92	0.83	0.07
0.08	0.13	0.09	0	1
0.94	0.57	0.6	0.58	0.13
0.99	0.56	0.61	0.66	0.23
0.97	0.62	0.65	0.62	0.14
0.95	0.44	0.48	0.57	0.23
0	0.01	0	0.02	1
0.97	0.65	0.68	0.64	0.12
0.69	0.51	0.53	0.49	0.3
0.92	0.93	0.92	0.88	0.05
0.98	0.85	0.84	0.85	0.07
0.78	0.83	0.84	0.79	0.08
0.56	0.33	0.31	0.42	0.38
0.82	0.81	0.82	0.72	0.08
0.56	0.63	0.59	0.69	0.22
0.65	0.5	0.49	0.55	0.24
0.91	0.88	0.87	0.8	0.03
0.72	0.46	0.45	0.53	0.29
0.47	0.41	0.38	0.35	0.73
0.99	0.75	0.76	0.79	0.17
0.99	0.8	0.84	0.65	0.04
0.55	0.75	0.74	0.71	0.15
0.72	0.75	0.7	0.56	0.17
0.32	0.4	0.37	0.47	0.43
0.8	0.78	0.77	0.74	0.1
0.91	0.54	0.63	0.44	0.27
0.78	0.45	0.44	0.56	0.36
0.96	0.69	0.71	0.7	0.14
0.83	0.54	0.57	0.57	0.2
0.44	0.3	0.28	0.25	0.56
0.94	0.97	0.96	0.85	0.03
0.73	0.51	0.53	0.28	0.12
0.9	0.75	0.76	0.46	0.13
0.92	0.46	0.48	0.6	0.16
0.42	0.38	0.35	0.39	0.54
0.98	0.75	0.76	0.74	0.05
0.84	0.51	0.54	0.56	0.29
0.96	0.69	0.76	0.67	0.17
0.83	0.75	0.74	0.68	0.13
0.87	0.99	0.94	0.87	0.04
0.63	0.72	0.66	0.79	0.18
0.97	0.74	0.75	0.61	0.18
0.59	0.59	0.53	0.54	0.43
0.98	0.91	0.96	0.86	0.01
0.27	0.23	0.24	0.27	0.83
0.83	0.62	0.67	0.67	0.16
0.76	0.5	0.55	0.63	0.23
0.98	0.61	0.62	0.54	0.05
0.96	0.81	0.82	0.87	0.11
0.72	0.35	0.36	0.21	0.53
0.49	0.41	0.29	0.4	0.77
0.89	0.61	0.65	0.64	0.18
0.45	0.48	0.46	0.48	0.23
0.92	0.78	0.82	0.63	0.06
0.4	0.36	0.32	0.38	0.72
0.98	0.87	0.89	0.81	0.04
0.84	0.86	0.86	0.9	0.03
0.14	0.71	0.67	0.71	0.21
0.7	0.36	0.38	0.36	0.4
0.69	0.55	0.5	0.4	0.35
0.74	0.62	0.62	0.6	0.2
0.73	0.58	0.63	0.48	0.26
0.6	0.42	0.41	0.46	0.65
0.96	0.79	0.8	0.8	0.05
0.76	0.78	0.79	0.78	0.16
0.99	0.84	0.81	0.9	0.08
0.81	0.79	0.8	0.69	0.17
0.9	0.7	0.74	0.6	0.11
0.5	0.64	0.58	0.61	0.21
0.96	0.46	0.52	0.59	0.24
0.95	0.48	0.56	0.53	0.25
0.38	0.4	0.37	0.41	0.59
0.94	0.71	0.72	0.57	0.12
0.66	0.78	0.79	0.8	0.19
0.36	0.42	0.43	0.43	0.6
0.83	0.64	0.65	0.67	0.22
0.9	0.88	0.91	0.83	0.18
0.87	0.75	0.72	0.81	0.13
0.22	0.52	0.5	0.48	0.61
0.83	0.71	0.71	0.65	0.2
0.98	0.84	0.81	0.84	0.04
0.92	0.79	0.82	0.69	0.09
0.96	0.78	0.8	0.75	0.07
0.62	0.69	0.67	0.6	0.26
0.86	0.81	0.78	0.77	0.17
0.54	0.58	0.54	0.51	0.42
0.41	0.28	0.28	0.19	0.58
0.42	0.51	0.43	0.52	0.75
0.87	0.8	0.83	0.73	0.1
0.12	0	0	0.04	1
0.68	0.9	0.85	0.88	0.15
0.34	0.6	0.53	0.58	0.17
0.35	0.49	0.48	0.44	0.57
0.57	0.37	0.32	0.43	0.44
0.98	0.66	0.67	0.56	0.1
0.08	0	0	0	1
0.84	0.71	0.73	0.53	0.12
0.59	0.41	0.4	0.37	0.48
0	0.47	0.42	0.55	0.84
0.98	0.7	0.72	0.62	0.09
0.9	0.77	0.81	0.72	0.09
0.39	0.56	0.6	0.57	0.24
0.94	0.64	0.68	0.58	0.08
0.85	0.42	0.51	0.35	0.37
0.5	0.67	0.72	0.71	0.13
0.91	0.82	0.84	0.82	0.04
0.54	0.49	0.48	0.45	0.56
0.53	0.36	0.33	0.29	0.62
0.96	0.64	0.73	0.53	0.11
0.9	0.68	0.69	0.64	0.13
0	0.49	0.46	0.53	0.86
0.91	0.73	0.76	0.5	0.09
0.96	0.67	0.74	0.53	0.11
0.66	0.25	0.31	0.38	0.65
0.96	0.96	0.98	0.87	0.01
0.95	0.57	0.63	0.61	0.16
0.93	0.55	0.56	0.53	0.14
0.94	0.65	0.67	0.49	0.08
0.68	0.51	0.52	0.41	0.59
0.98	0.57	0.6	0.47	0.14
0.55	0.24	0.24	0.1	0.69
0.83	0.35	0.39	0.33	0.45
0.72	0.72	0.68	0.66	0.15
1	0.66	0.66	0.58	0.05
0.76	0.48	0.46	0.43	0.1
0.59	0.31	0.31	0.3	0.47
0.72	0.52	0.48	0.59	0.26
0.98	0.73	0.74	0.7	0.09
0.97	0.7	0.74	0.66	0.07
0.95	0.97	0.95	0.85	0.01
0.37	0.4	0.36	0.22	0.66
0.98	0.93	0.94	0.85	0.05
0.76	0.41	0.45	0.45	0.39
0.99	0.95	0.97	0.86	0.04
0.95	0.74	0.67	0.74	0.17
0.7	0.4	0.39	0.29	0.34
0.66	0.63	0.59	0.62	0.24
0.83	0.71	0.68	0.67	0.04
0.28	0.44	0.43	0.46	0.76
0.95	0.9	0.92	0.85	0.06
0.88	0.42	0.47	0.44	0.3
0.99	0.81	0.8	0.79	0.1
0.94	0.58	0.61	0.71	0.09
0.41	0.06	0.11	0.03	1
0.68	0.75	0.8	0.6	0.27
0.39	0.42	0.4	0.37	0.67
0.82	0.47	0.49	0.28	0.2
0.62	0.33	0.36	0.32	0.65
0.78	0.51	0.5	0.33	0.23
0.82	0.72	0.74	0.65	0.11
0.98	0.5	0.56	0.59	0.15
0.87	0.77	0.81	0.73	0.06
0.96	0.78	0.81	0.66	0.12
0.95	0.46	0.49	0.47	0.14
0.98	0.64	0.65	0.62	0.13
0.39	0.22	0.19	0.05	0.73
0.39	0.46	0.43	0.45	0.81
0.96	0.81	0.82	0.77	0.08
0.13	0.04	0.05	0.09	1
0.22	0.38	0.38	0.35	0.63
0.99	0.94	0.94	0.87	0.06
0.67	0.62	0.56	0.53	0.17
0.96	0.83	0.87	0.79	0.1
0.74	0.55	0.59	0.54	0.29
0.91	0.45	0.5	0.44	0.18
0.86	0.72	0.74	0.77	0.24
0.39	0.39	0.44	0.49	0.6
0.45	0.84	0.83	0.79	0.09
0.36	0.17	0.16	0.2	0.75
0.51	0.37	0.28	0.43	0.44
0.97	0.71	0.76	0.66	0.12
0.91	0.76	0.79	0.67	0.04
0.5	0.48	0.47	0.55	0.28
0.78	0.86	0.87	0.78	0.06
0.45	0.57	0.54	0.57	0.17
0.75	0.4	0.43	0.22	0.51
0.5	0.32	0.3	0.3	0.65
0.85	0.55	0.61	0.64	0.21
0.84	0.6	0.64	0.56	0.21
0.87	0.81	0.81	0.73	0.06
0.44	0.33	0.33	0.36	0.4
0.64	0.37	0.4	0.38	0.59
0.33	0.58	0.56	0.69	0.32
0.76	0.8	0.81	0.84	0.07
0.98	0.9	0.91	0.82	0.05
0.52	0.29	0.25	0.27	0.74
0.91	0.94	0.94	0.93	0.03
0.42	0.47	0.51	0.53	0.36
0.93	0.68	0.68	0.6	0.2
0.74	0.45	0.48	0.59	0.3
0.63	0.61	0.61	0.6	0.22
0.77	0.53	0.47	0.54	0.35
0.94	0.65	0.71	0.61	0.12
0.98	0.68	0.75	0.72	0.2
0.97	0.97	0.95	0.91	0.02
0.92	0.7	0.72	0.59	0.09
0.97	0.61	0.66	0.66	0.19
0.41	0.66	0.64	0.65	0.2
0.95	0.9	0.88	0.82	0.02
0.8	0.45	0.43	0.51	0.52
0.87	0.69	0.68	0.52	0.06
0.98	0.85	0.82	0.78	0.04
0.95	0.41	0.47	0.39	0.4
0.98	0.55	0.59	0.59	0.2
0.98	0.74	0.78	0.7	0.11
0.35	0.18	0.22	0.33	0.87
0.4	0.36	0.36	0.39	0.64
0.83	0.45	0.48	0.47	0.23
0.8	0.78	0.78	0.76	0.12
1	0.6	0.62	0.54	0.12
0.58	0.39	0.39	0.49	0.49
0.97	0.86	0.88	0.81	0.02
0.93	0.96	0.96	0.84	0.02
0.19	0.27	0.23	0.21	0.74
0.86	0.41	0.42	0.55	0.3
0.91	0.82	0.81	0.76	0.08
0.74	0.73	0.74	0.56	0.24
0.96	0.98	0.99	0.87	0
0.65	0.61	0.58	0.55	0.21
0.19	0.47	0.44	0.44	0.48
0.96	0.72	0.71	0.72	0.07
0.92	0.77	0.8	0.76	0.14
0.6	0.43	0.42	0.44	0.53
0.99	0.63	0.67	0.6	0.11
0.88	0.56	0.57	0.59	0.2
0.69	0.64	0.64	0.64	0.18
0.61	0.52	0.52	0.45	0.23
0.78	0.6	0.59	0.56	0.27
0.73	0.56	0.61	0.55	0.25
0.31	0.55	0.53	0.69	0.37
0.83	0.7	0.72	0.71	0.09
0.76	0.23	0.23	0.2	0.33
0.58	0.49	0.49	0.56	0.45
0.86	0.95	0.94	0.88	0
0.7	0.55	0.55	0.59	0.18
0.49	0.22	0.21	0.11	1
0.79	0.66	0.66	0.64	0.16
0.99	0.69	0.71	0.55	0.1
0.81	0.83	0.86	0.78	0.08
0.09	0.55	0.56	0.51	0.38
0.98	0.79	0.84	0.73	0.05
0.5	0.75	0.73	0.67	0.26
0.87	0.43	0.43	0.52	0.19
0.51	0.37	0.33	0.32	0.38
0.83	0.74	0.76	0.73	0.14
0.98	0.91	0.92	0.82	0.04
0.6	0.77	0.73	0.74	0.09
0.98	0.45	0.53	0.42	0.25
0.74	0.43	0.47	0.39	0.24
0.78	0.58	0.62	0.6	0.13
0.75	0.61	0.61	0.5	0.25
0.52	0.6	0.58	0.52	0.3
0.99	0.82	0.83	0.8	0.12
0.91	0.65	0.68	0.58	0.1
0.99	0.68	0.72	0.82	0.13
0.97	0.83	0.82	0.71	0.03
0.99	0.83	0.86	0.84	0.04
0.54	0.57	0.56	0.52	0.36
0.69	0.42	0.42	0.47	0.54
0.98	0.64	0.68	0.73	0.21
0.69	0.57	0.55	0.54	0.38
0.92	0.67	0.71	0.62	0.09
0.71	0.62	0.64	0.62	0.22
0.84	0.64	0.69	0.53	0.09
0.97	0.71	0.72	0.78	0.07
0.67	0.43	0.53	0.5	0.66
0.46	0.61	0.59	0.6	0.43
0.9	0.55	0.59	0.56	0.14
0.61	0.42	0.38	0.43	0.48
0.7	0.5	0.48	0.5	0.29
0.99	0.85	0.84	0.91	0.07
0.41	0.55	0.49	0.51	0.36
0.94	0.88	0.9	0.8	0.03
0	0	0	0	1
0.8	0.72	0.76	0.68	0.09
0.9	0.46	0.53	0.36	0.2
0.76	0.79	0.84	0.77	0.12
0.99	0.65	0.66	0.6	0.06
0.93	0.4	0.42	0.52	0.07
0.98	0.51	0.57	0.51	0.18
0.97	0.8	0.81	0.79	0.09
0.89	0.82	0.85	0.78	0.08
0.48	0.52	0.48	0.46	0.45
0.78	0.66	0.68	0.67	0.24
0.97	0.78	0.8	0.78	0.06
0.93	0.82	0.86	0.79	0.04
0.98	0.75	0.78	0.76	0.18
0.47	0.47	0.41	0.59	0.47
0.8	0.65	0.65	0.6	0.13
0.22	0.36	0.38	0.4	0.32
0.9	0.54	0.59	0.46	0.2
0.43	0.34	0.32	0.28	0.53
0.93	0.66	0.68	0.64	0.1
0.95	0.75	0.76	0.77	0.07
0.86	0.9	0.89	0.77	0.04
0.91	0.75	0.75	0.83	0.1
0.88	0.36	0.43	0.32	0.13
0.8	0.51	0.53	0.55	0.25
0.76	0.83	0.85	0.72	0.13
0.69	0.68	0.67	0.62	0.2
0.94	0.65	0.66	0.68	0.12
0.67	0.5	0.39	0.44	0.35
0.81	0.37	0.4	0.39	0.37
0.64	0.43	0.45	0.27	0.34
0.74	0.7	0.71	0.61	0.15
0.81	0.67	0.72	0.49	0.15
0.75	0.47	0.49	0.44	0.27
0.89	0.76	0.75	0.68	0.07
0.61	0.79	0.82	0.69	0.04
0.99	0.82	0.8	0.77	0.04
0.75	0.36	0.36	0.41	0.4
0.99	0.5	0.49	0.72	0.3
0.97	0.82	0.85	0.87	0.03
0.84	0.71	0.7	0.65	0.12
0.38	0.63	0.56	0.65	0.28
0.65	0.54	0.48	0.59	0.24
0.71	0.6	0.61	0.48	0.38
0.75	0.37	0.43	0.38	0.4
0.92	0.8	0.81	0.84	0.01
0.91	0.91	0.92	0.85	0.03
0.85	0.54	0.57	0.52	0.19
0.35	0.32	0.29	0.32	0.85
0.93	0.86	0.87	0.72	0.08
0.97	0.55	0.65	0.62	0.14
0.07	0.01	0	0.03	1
0.96	0.91	0.95	0.86	0.03
0.94	0.81	0.84	0.76	0.06
0.88	0.49	0.5	0.49	0.27
0.94	0.84	0.86	0.63	0.1
0.98	0.71	0.78	0.74	0.09
0.94	0.64	0.73	0.64	0.08
0.92	0.93	0.95	0.88	0.04
0	0.4	0.3	0.45	0.62
0.87	0.65	0.64	0.55	0.1
0.9	0.41	0.47	0.42	0.24
0.96	0.68	0.73	0.74	0.08
0.22	0.2	0.2	0.19	0.85
0.99	0.79	0.81	0.76	0.06
0.5	0.12	0.1	0	0.65
0.62	0.17	0.22	0.21	0.84
0.77	0.91	0.93	0.69	0.03
0.88	0.69	0.73	0.53	0.09
0.95	0.5	0.53	0.54	0.23
0.4	0.14	0.18	0.18	0.96
0.93	0.8	0.81	0.78	0.09
0	0.16	0.2	0.19	0.81
0.39	0.5	0.48	0.42	0.54
0.99	0.65	0.69	0.63	0.16
0.66	0.48	0.46	0.29	0.3
0.75	0.6	0.65	0.61	0.21
0.83	0.51	0.54	0.51	0.35
0.99	0.87	0.88	0.69	0.06
0.93	0.81	0.81	0.83	0.07
0.15	0.19	0.17	0.2	0.86
0.52	0.36	0.38	0.33	0.64
0.72	0.81	0.84	0.66	0.18
0.77	0.61	0.57	0.69	0.23
0.88	0.8	0.83	0.77	0.07
0.65	0.65	0.68	0.72	0.29
0.87	0.38	0.4	0.4	0.21
0.35	0.47	0.5	0.54	0.44
0.94	0.82	0.81	0.84	0.04
0.89	0.43	0.49	0.49	0.24
0.92	0.78	0.77	0.67	0.1
0.92	0.87	0.88	0.93	0.08
0.21	0.44	0.45	0.42	0.44
0.96	0.66	0.72	0.77	0.1
0.98	0.86	0.89	0.81	0.04
0.79	0.7	0.71	0.62	0.21
0.95	0.76	0.77	0.73	0.26
0.86	0.42	0.41	0.39	0.25
0.73	0.22	0.27	0.22	0.43
0.97	0.84	0.83	0.85	0.06
0.98	0.85	0.84	0.7	0.03
0.93	0.91	0.87	0.89	0.07
0.93	0.77	0.78	0.67	0.1
0.84	0.6	0.62	0.62	0.11
0.85	0.66	0.68	0.59	0.1
0.96	0.66	0.71	0.69	0.14
0.68	0.59	0.58	0.58	0.4
0.07	0.62	0.54	0.73	0.53
0.61	0.61	0.57	0.53	0.4
0.64	0.38	0.4	0.39	0.54
0.9	0.54	0.59	0.5	0.15
0.92	0.74	0.74	0.77	0.03
0.38	0.42	0.49	0.49	0.6
0.98	0.93	0.94	0.84	0.04
0.99	0.75	0.75	0.53	0.1
0.52	0.34	0.32	0.32	0.51
0.85	0.61	0.63	0.6	0.15
0.92	0.74	0.75	0.68	0.13
0.6	0.63	0.61	0.47	0.13
0.58	0.48	0.47	0.42	0.47
0.95	0.93	0.91	0.86	0.05
0.94	0.53	0.57	0.59	0.19
0.98	0.9	0.92	0.75	0.05
0.91	0.52	0.61	0.62	0.2
0.88	0.97	0.97	0.72	0.05
1	0.77	0.77	0.7	0.08
0.98	0.73	0.8	0.7	0.1
0.92	0.39	0.43	0.51	0.31
0.84	0.45	0.48	0.48	0.44
0.98	0.54	0.56	0.48	0.23
0.74	0.38	0.38	0.38	0.39
